_2021-10-12 22:49:23. d/u/p =   27136226.847815428 /    17982304.29461149 / 15.113 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.663}
_2021-10-12 23:49:59. d/u/p =    28796203.31957701 /    20983780.48453209 / 14.331 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 15.564}
_2021-10-13 00:50:30. d/u/p =    27973252.15136351 /   19941945.793925148 / 13.287 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.641}
_2021-10-13 01:51:00. d/u/p =   29828009.810506657 /    20169302.94389836 / 13.461 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.395}
_2021-10-13 02:51:31. d/u/p =    30195879.60090262 /   20066099.317793537 / 15.712 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 13.471}
_2021-10-13 03:52:03. d/u/p =   29835364.608648743 /   20207434.619805016 / 13.513 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.465}
_2021-10-13 04:52:34. d/u/p =   29679845.739701774 /   20525311.422051303 / 14.438 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 18.007}
_2021-10-13 05:53:05. d/u/p =   19294604.051287908 /    20525227.77993635 / 14.513 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 16.83}
_2021-10-13 06:53:37. d/u/p =   28054374.440506063 /    20639372.50127357 / 14.542 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.911}
_2021-10-13 07:54:08. d/u/p =   28380427.537112303 /   20554689.445242956 / 13.67 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 13.316}
_2021-10-13 08:54:39. d/u/p =   29625624.526237994 /   20488004.171337236 / 17.555 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.41}
_2021-10-13 09:55:09. d/u/p =   29731654.462475613 /   20079685.579744846 / 13.319 : {'url': 'http://speedtest.belpak.brest.by:8080/speedtest/upload.php', 'lat': '52.1333', 'lon': '23.6667', 'name': 'Brest', 'country': 'Belarus', 'cc': 'BY', 'sponsor': 'BYFLY', 'id': '39338', 'host': 'speedtest.belpak.brest.by:8080', 'd': 326.7672870243016, 'latency': 14.759}
